Trial,Bandit,Reward,Algorithm
0,3.0,3.716816343978843,ThompsonSampling
1,3.0,3.8937067985565523,ThompsonSampling
2,3.0,3.923383206362222,ThompsonSampling
3,3.0,4.3852263450543,ThompsonSampling
4,3.0,3.625869866914382,ThompsonSampling
5,3.0,2.721584447310843,ThompsonSampling
6,3.0,5.982120528745415,ThompsonSampling
7,3.0,4.939502193281996,ThompsonSampling
8,3.0,3.5777755136232026,ThompsonSampling
9,3.0,5.035116140574049,ThompsonSampling
10,3.0,1.7854775610395235,ThompsonSampling
11,3.0,4.24817853912961,ThompsonSampling
12,3.0,6.053041718970582,ThompsonSampling
13,3.0,5.153664598989863,ThompsonSampling
14,3.0,4.197374150692607,ThompsonSampling
15,3.0,5.318492491383344,ThompsonSampling
16,3.0,2.3438040141139243,ThompsonSampling
17,3.0,3.2777058872917237,ThompsonSampling
18,3.0,1.7654407448402987,ThompsonSampling
19,3.0,3.676345425959176,ThompsonSampling
20,3.0,3.8521961739256256,ThompsonSampling
21,3.0,4.233483586047837,ThompsonSampling
22,3.0,5.547401524342108,ThompsonSampling
23,3.0,3.7750377696723176,ThompsonSampling
24,3.0,3.5318314373798323,ThompsonSampling
25,3.0,5.264402940510746,ThompsonSampling
26,3.0,5.441608517159038,ThompsonSampling
27,3.0,5.5674658882528165,ThompsonSampling
28,3.0,4.952695238300409,ThompsonSampling
29,3.0,3.7631280133273846,ThompsonSampling
30,3.0,4.268865509552784,ThompsonSampling
31,3.0,2.8996172166813596,ThompsonSampling
32,3.0,3.982006097934567,ThompsonSampling
33,3.0,2.214798103761841,ThompsonSampling
34,3.0,2.6050351115612385,ThompsonSampling
35,3.0,5.21150585293436,ThompsonSampling
36,3.0,4.769551417660542,ThompsonSampling
37,3.0,3.193203697544423,ThompsonSampling
38,3.0,2.5372613296552977,ThompsonSampling
39,3.0,4.400071832819602,ThompsonSampling
40,3.0,4.38451810983133,ThompsonSampling
41,3.0,4.7358221946619015,ThompsonSampling
42,3.0,3.774156522848073,ThompsonSampling
43,3.0,4.255668342303956,ThompsonSampling
44,3.0,2.4517156700602847,ThompsonSampling
45,3.0,5.014932614389047,ThompsonSampling
46,3.0,3.3499885706111012,ThompsonSampling
47,3.0,5.049668906339331,ThompsonSampling
48,3.0,1.5986771119706629,ThompsonSampling
